timestamp_et,account,assets,market,equity,open_positions,new_trades,exits,summary
2026-09-17 05:26,B,option+crypto,closed,97570.55,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 05:56,B,option+crypto,closed,97505.88,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 06:27,B,option+crypto,closed,97388.82,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 10:47,B,option+crypto,open,98544.28,6,0,0,9 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 14:53,B,option+crypto,open,98384.46,6,0,0,9 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 18:01,B,option+crypto,closed,98540.63,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 19:24,B,option+crypto,closed,98582.28,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 20:05,B,option+crypto,closed,98505.1,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 20:25,B,option+crypto,closed,98481.43,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 21:25,B,option+crypto,closed,98757.52,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-18 00:53,B,option+crypto,closed,99431.54,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-18 05:30,B,option+crypto,closed,100030.09,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-18 09:49,B,option+crypto,open,100833.41,6,0,0,8 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-18 12:57,B,option+crypto,open,101771.08,6,0,0,8 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-18 13:36,B,option+crypto,open,101755.03,6,0,0,8 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-18 13:58,B,option+crypto,open,101993.73,6,0,0,8 signal(s) ranked but none opened (cap full / risk gate / no contract)
